project_id,state,district,project_type,land_area_hectares,affected_families,days_since_notification,compensation_disbursed_pct,legal_disputes_count,legal_dispute_stage,rr_progress_pct,approvals_pending,dept_response_days_avg,possession_status,documentation_completeness_pct,historical_delay_rate_region,delayed
aebd3b47,West Bengal,Siliguri,Urban Development,20.98,27,907,39.8,0,None,33.6,0,25.4,Not Started,77.9,28.6,1
4870cb9e,Odisha,Rourkela,Railway,10.97,28,173,86.5,0,None,30.4,2,8.0,Full,81.8,46.1,1
1b31be32,Gujarat,Ahmedabad,Industrial Corridor,2.69,120,465,45.6,0,None,50.8,4,65.6,Partial,57.4,18.1,1
949fb264,Odisha,Rourkela,Railway,13.29,39,492,69.5,1,Filed,38.1,4,62.1,Partial,62.4,37.6,1
7c435cbb,Bihar,Gaya,Industrial Corridor,17.21,26,351,60.9,0,None,57.8,3,34.9,Partial,52.0,40.1,1
d6499c87,Uttar Pradesh,Agra,Industrial Corridor,11.64,69,1230,40.2,1,Filed,51.3,5,29.2,Not Started,42.4,13.3,1
6e75cf32,Bihar,Bhagalpur,Irrigation,9.16,176,1335,47.2,2,Filed,29.7,3,18.3,Partial,70.0,15.2,1
b467841d,Madhya Pradesh,Indore,Highway,9.35,1088,317,21.8,0,None,30.7,5,17.3,Partial,54.3,47.8,0
e6c0e14f,Uttar Pradesh,Lucknow,Highway,3.88,19,461,70.5,0,None,41.2,4,54.1,Not Started,26.5,69.7,0
fdb3b8b2,Tamil Nadu,Madurai,Industrial Corridor,32.02,31,429,45.2,0,None,24.7,1,7.3,Partial,88.8,5.1,0
a71a274b,Odisha,Bhubaneswar,Urban Development,8.64,73,995,93.9,0,None,55.3,1,15.0,Full,19.6,27.8,1
23d7008a,Uttar Pradesh,Agra,Urban Development,9.95,58,891,45.5,0,None,56.8,2,30.8,Partial,32.3,25.7,0
95e98818,Madhya Pradesh,Bhopal,Highway,16.57,4,865,84.2,1,Under Hearing,35.3,3,45.6,Not Started,76.3,28.8,1
1acf51ed,Madhya Pradesh,Gwalior,Industrial Corridor,40.65,14,1135,54.7,0,None,63.5,1,61.6,Full,41.9,27.9,1
a955a66b,Rajasthan,Kota,Power Transmission,10.34,422,585,22.5,0,None,93.1,4,11.9,Partial,12.9,34.3,1
450bff34,Odisha,Cuttack,Highway,16.2,25,1493,17.3,1,Under Hearing,50.9,2,16.6,Partial,29.5,27.6,1
a96ab1ff,Bihar,Patna,Power Transmission,3.25,409,1401,60.6,0,None,69.4,1,57.4,Full,72.9,57.7,0
801a2f6e,Bihar,Patna,Urban Development,17.0,41,1142,64.9,0,None,11.4,7,30.2,Partial,43.6,28.2,0
0f11c60c,Uttar Pradesh,Meerut,Industrial Corridor,50.38,83,754,82.5,0,None,77.3,3,35.7,Not Started,78.8,27.0,0
a8401ce5,Odisha,Cuttack,Highway,86.86,43,782,72.8,0,None,48.6,3,33.6,Full,78.7,23.2,1
5019cf45,Tamil Nadu,Coimbatore,Power Transmission,3.35,349,1190,68.2,1,Filed,14.4,3,7.2,Not Started,69.1,25.2,1
a965318c,Bihar,Muzaffarpur,Urban Development,18.0,49,1302,31.4,2,Filed,24.8,2,5.6,Not Started,97.7,47.0,1
0051bd5f,Uttar Pradesh,Lucknow,Irrigation,26.06,756,1197,35.7,2,Under Hearing,47.7,3,35.9,Full,8.1,47.3,1
4cf29cae,Uttar Pradesh,Lucknow,Highway,3.63,9,811,3.9,1,Resolved,72.2,3,40.0,Full,79.7,21.4,0
c9a38aa5,Rajasthan,Kota,Urban Development,149.26,142,1050,86.0,2,Under Hearing,17.9,1,8.9,Full,82.1,61.7,1
8666a80c,Tamil Nadu,Madurai,Urban Development,6.51,31,303,30.5,1,Stay Order,68.2,4,28.3,Full,91.7,46.6,1
013a29e4,Gujarat,Rajkot,Railway,6.06,17,1442,79.3,0,None,42.4,2,24.5,Partial,36.3,24.3,0
9b33e088,Tamil Nadu,Madurai,Industrial Corridor,16.28,41,1420,42.6,0,None,68.9,1,27.0,Partial,57.6,33.0,1
44ccb087,Madhya Pradesh,Indore,Urban Development,15.69,8,157,26.4,2,Resolved,38.5,0,16.4,Partial,81.2,25.6,0
07e0c523,West Bengal,Siliguri,Highway,118.92,2,1120,18.1,1,Resolved,46.5,2,23.7,Not Started,65.8,5.0,1
f7baf691,Gujarat,Ahmedabad,Highway,3.21,7,792,21.7,1,Under Hearing,16.5,5,11.5,Partial,91.8,26.4,1
39f0da9d,Odisha,Bhubaneswar,Highway,87.8,51,669,77.3,0,None,6.2,2,28.6,Full,48.3,15.0,0
2ae27876,Gujarat,Ahmedabad,Urban Development,2.31,38,894,83.1,0,None,82.0,2,22.1,Partial,88.2,55.2,1
49da281c,Gujarat,Vadodara,Industrial Corridor,46.24,77,821,60.0,1,Under Hearing,61.5,0,24.5,Partial,47.6,26.7,0
641bdc11,Maharashtra,Thane,Highway,9.03,90,96,72.4,1,Under Hearing,36.5,2,47.6,Full,52.3,44.3,0
b63b23f9,Karnataka,Mysuru,Urban Development,50.43,29,1053,69.2,1,Under Hearing,40.3,4,4.1,Full,42.6,16.1,1
b747f6d7,Gujarat,Vadodara,Railway,5.1,183,1108,66.1,0,None,50.3,4,14.7,Not Started,52.2,58.5,0
a58210d7,Karnataka,Bengaluru,Irrigation,8.24,26,57,77.0,2,Stay Order,43.5,0,15.3,Partial,50.6,63.7,1
