project_id,state,district,project_type,land_area_hectares,affected_families,days_since_notification,compensation_disbursed_pct,legal_disputes_count,legal_dispute_stage,rr_progress_pct,approvals_pending,dept_response_days_avg,possession_status,documentation_completeness_pct,historical_delay_rate_region,latitude,longitude,location_name,segment_label
ac6cb42d,Uttar Pradesh,Lucknow,Highway,5.81,21,281,61.7,2,Stay Order,63.1,2,20.6,Not Started,31.1,48.6,26.80443,80.88085,Kanpur Road Widening,Segment 1
c54a5ec0,Uttar Pradesh,Lucknow,Highway,0.38,65,833,4.5,0,None,38.3,4,10.9,Partial,34.5,50.5,26.80204,80.88641,Kanpur Road Widening,Segment 2
c79fb7b9,Uttar Pradesh,Lucknow,Highway,2.13,24,122,42.4,0,None,18.5,0,13.9,Partial,84.7,33.4,26.80019,80.89048,Kanpur Road Widening,Segment 3
79d4a284,Uttar Pradesh,Lucknow,Highway,2.5,114,87,32.4,0,None,59.3,5,16.2,Not Started,85.3,43.7,26.80762,80.88118,Kanpur Road Widening,Segment 4
1e5b69b5,Uttar Pradesh,Lucknow,Highway,11.54,81,258,61.8,2,Resolved,54.9,1,35.0,Not Started,85.4,36.5,26.79714,80.87753,Kanpur Road Widening,Segment 5
d92d7253,Uttar Pradesh,Lucknow,Highway,3.33,30,101,61.0,0,None,29.8,0,49.8,Partial,83.9,38.8,26.80788,80.88496,Kanpur Road Widening,Segment 6
068292e2,Uttar Pradesh,Lucknow,Highway,7.56,51,471,44.6,0,None,63.6,4,33.1,Not Started,44.1,28.3,26.78199,80.95705,Sultanpur Road Corridor,Segment 1
e6aa9839,Uttar Pradesh,Lucknow,Highway,20.9,113,461,41.2,2,Filed,25.1,2,19.5,Partial,97.1,33.0,26.77048,80.94448,Sultanpur Road Corridor,Segment 2
c08b9c21,Uttar Pradesh,Lucknow,Highway,1.27,73,402,79.9,0,None,87.7,3,6.9,Partial,83.2,37.6,26.77968,80.9562,Sultanpur Road Corridor,Segment 3
e462f6cf,Uttar Pradesh,Lucknow,Highway,6.57,26,666,30.5,0,None,29.9,1,17.9,Full,75.3,30.3,26.78745,80.93966,Sultanpur Road Corridor,Segment 4
a5f8ffd2,Uttar Pradesh,Lucknow,Highway,2.93,47,825,68.5,1,Under Hearing,60.2,3,15.5,Full,25.4,59.8,26.77031,80.94832,Sultanpur Road Corridor,Segment 5
ae50b5de,Uttar Pradesh,Lucknow,Highway,3.48,48,806,69.9,1,Filed,70.9,4,4.3,Full,55.7,38.7,26.77154,80.95098,Sultanpur Road Corridor,Segment 6
c5b90f23,Uttar Pradesh,Lucknow,Highway,4.17,33,765,57.4,1,Resolved,88.8,1,14.7,Not Started,66.3,47.7,26.88001,81.01305,Ayodhya Road (Faizabad Road) Expansion,Segment 1
6f396729,Uttar Pradesh,Lucknow,Highway,5.67,37,693,95.1,0,None,74.0,0,43.5,Partial,68.9,62.9,26.89176,81.01269,Ayodhya Road (Faizabad Road) Expansion,Segment 2
3c02d95b,Uttar Pradesh,Lucknow,Highway,1.63,23,497,60.8,1,Under Hearing,64.7,0,43.4,Full,83.8,13.4,26.888,81.01325,Ayodhya Road (Faizabad Road) Expansion,Segment 3
4aab2678,Uttar Pradesh,Lucknow,Highway,2.06,15,863,28.1,0,None,89.0,6,14.3,Full,91.3,27.1,26.88412,81.01008,Ayodhya Road (Faizabad Road) Expansion,Segment 4
2f786484,Uttar Pradesh,Lucknow,Highway,3.93,4,213,69.8,0,None,41.8,1,31.6,Full,46.1,39.7,26.87377,81.02014,Ayodhya Road (Faizabad Road) Expansion,Segment 5
8b732033,Uttar Pradesh,Lucknow,Highway,6.31,21,455,91.9,0,None,82.0,2,23.4,Partial,71.1,45.0,26.88811,81.01722,Ayodhya Road (Faizabad Road) Expansion,Segment 6
73ac841e,Uttar Pradesh,Lucknow,Highway,5.41,25,941,77.4,3,Stay Order,78.2,1,25.7,Partial,75.9,47.8,26.88392,81.02394,Ayodhya Road (Faizabad Road) Expansion,Segment 7
e65b47bd,Uttar Pradesh,Lucknow,Highway,3.48,21,380,35.6,0,None,38.2,4,11.2,Partial,90.6,33.7,26.8873,81.01374,Ayodhya Road (Faizabad Road) Expansion,Segment 8
b2df2c32,Uttar Pradesh,Lucknow,Highway,8.76,7,601,47.8,0,None,80.3,2,23.9,Full,40.0,28.8,26.77962,80.91177,Rae Bareli Road Upgrade,Segment 1
6d046986,Uttar Pradesh,Lucknow,Highway,4.12,23,268,49.8,3,Resolved,40.4,0,9.9,Not Started,62.0,17.1,26.77161,80.90988,Rae Bareli Road Upgrade,Segment 2
6de62eeb,Uttar Pradesh,Lucknow,Highway,5.3,2,426,57.1,0,None,41.2,1,6.5,Partial,61.7,32.9,26.77482,80.90117,Rae Bareli Road Upgrade,Segment 3
2148a7ed,Uttar Pradesh,Lucknow,Highway,11.55,44,386,73.8,0,None,17.3,2,79.6,Partial,80.1,41.1,26.76872,80.91287,Rae Bareli Road Upgrade,Segment 4
b1f59b52,Uttar Pradesh,Lucknow,Highway,22.96,21,256,53.0,0,None,85.5,1,97.4,Not Started,89.0,34.1,26.77952,80.89527,Rae Bareli Road Upgrade,Segment 5
9d736728,Uttar Pradesh,Lucknow,Highway,9.53,345,458,67.4,0,None,72.8,5,53.2,Partial,15.1,31.5,26.77532,80.90396,Rae Bareli Road Upgrade,Segment 6
4b4a80bb,Uttar Pradesh,Lucknow,Highway,1.69,29,405,32.2,2,Stay Order,66.6,2,2.2,Full,79.2,54.1,26.9212,80.93455,Sitapur Road Corridor,Segment 1
760200cb,Uttar Pradesh,Lucknow,Highway,4.89,30,536,19.9,1,Under Hearing,38.2,1,35.8,Full,77.3,34.7,26.91774,80.94044,Sitapur Road Corridor,Segment 2
aa266bb9,Uttar Pradesh,Lucknow,Highway,11.14,107,538,42.4,0,None,66.1,1,50.4,Not Started,41.6,56.4,26.92337,80.93041,Sitapur Road Corridor,Segment 3
